id,round,match_date,year,home_away,opponent,team_quarter_scores,team_score,opponent_quarter_scores,opponent_score,result,margin,venue,crowd,team_goals_kicked,team_behinds,opponent_goals_kicked,opponent_behinds,team,venue_state,win_flag,is_home,team_home_state,is_interstate_travel,round_order,team_winrate_last3,team_winrate_last5,team_winrate_last10,team_avgmargin_last3,team_avgmargin_last5,team_avgmargin_last10,team_streak_entering,days_since_last_game,season_winrate_to_date,ladder_rank_to_date,h2h_winrate_vs_opp,h2h_games_played
11504,1,1983-03-27,1983,A,Sydney Swans,0.2 7.9 12.15 15.20,110,8.2 10.4 14.7 17.9,111,L,-1,Sydney Cricket Ground,11916.0,15,20,17,9,Essendon Bombers,NSW,0,0,VIC,1,1,,,,,,,0,,,,,0
14727,1,1983-03-27,1983,H,Essendon Bombers,8.2 10.4 14.7 17.9,111,0.2 7.9 12.15 15.20,110,W,1,Sydney Cricket Ground,11916.0,17,9,15,20,Sydney Swans,NSW,1,1,NSW,0,1,,,,,,,0,,,,,0
10723,2,1983-04-02,1983,A,Western Bulldogs,6.4 7.8 11.10 12.10,82,3.2 9.9 12.12 14.15,99,L,-17,Western Oval,20414.0,12,10,14,15,Carlton Blues,VIC,0,0,VIC,0,2,1.0,1.0,1.0,60.0,60.0,60.0,1,7.0,1.0,1.0,,0
11121,2,1983-04-02,1983,H,Geelong Cats,2.3 5.5 9.9 14.12,96,7.2 9.5 12.9 15.11,101,L,-5,Victoria Park,34751.0,14,12,15,11,Collingwood Magpies,VIC,0,1,VIC,0,2,1.0,1.0,1.0,10.0,10.0,10.0,1,7.0,1.0,1.0,,0
12328,2,1983-04-02,1983,A,Collingwood Magpies,7.2 9.5 12.9 15.11,101,2.3 5.5 9.9 14.12,96,W,5,Victoria Park,34751.0,15,11,14,12,Geelong Cats,VIC,1,0,VIC,0,2,1.0,1.0,1.0,31.0,31.0,31.0,1,7.0,1.0,1.0,,0
13515,2,1983-04-02,1983,A,Richmond Tigers,2.1 10.5 12.8 18.11,119,3.2 5.6 10.9 15.10,100,W,19,Melbourne Cricket Ground,41889.0,18,11,15,10,Melbourne Demons,VIC,1,0,VIC,0,2,0.0,0.0,0.0,-10.0,-10.0,-10.0,-1,7.0,0.0,7.0,,0
13973,2,1983-04-02,1983,H,Melbourne Demons,3.2 5.6 10.9 15.10,100,2.1 10.5 12.8 18.11,119,L,-19,Melbourne Cricket Ground,41889.0,15,10,18,11,Richmond Tigers,VIC,0,1,VIC,0,2,0.0,0.0,0.0,-60.0,-60.0,-60.0,-1,7.0,0.0,7.0,,0
15421,2,1983-04-02,1983,H,Carlton Blues,3.2 9.9 12.12 14.15,99,6.4 7.8 11.10 12.10,82,W,17,Western Oval,20414.0,14,15,12,10,Western Bulldogs,VIC,1,1,VIC,0,2,0.0,0.0,0.0,-31.0,-31.0,-31.0,-1,7.0,0.0,7.0,,0
11505,2,1983-04-04,1983,H,St Kilda Saints,5.5 7.7 12.9 20.11,131,1.2 2.4 6.10 10.10,70,W,61,Windy Hill,28071.0,20,11,10,10,Essendon Bombers,VIC,1,1,VIC,0,2,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1,8.0,0.0,7.0,,0
11906,2,1983-04-04,1983,A,North Melbourne Kangaroos,1.4 5.11 6.11 12.16,88,1.2 1.4 2.5 6.7,43,W,45,Waverley Park,23788.0,12,16,6,7,Fitzroy Lions,VIC,1,0,VIC,0,2,0.0,0.0,0.0,-19.0,-19.0,-19.0,-1,9.0,0.0,7.0,,0
12721,2,1983-04-04,1983,H,Sydney Swans,2.6 5.11 8.15 9.16,70,3.3 3.7 5.10 5.15,45,W,25,Princes Park,16295.0,9,16,5,15,Hawthorn Hawks,VIC,1,1,VIC,0,2,1.0,1.0,1.0,19.0,19.0,19.0,1,9.0,1.0,1.0,,0
13121,2,1983-04-04,1983,H,Fitzroy Lions,1.2 1.4 2.5 6.7,43,1.4 5.11 6.11 12.16,88,L,-45,Waverley Park,23788.0,6,7,12,16,North Melbourne Kangaroos,VIC,0,1,VIC,0,2,1.0,1.0,1.0,13.0,13.0,13.0,1,9.0,1.0,1.0,,0
14348,2,1983-04-04,1983,A,Essendon Bombers,1.2 2.4 6.10 10.10,70,5.5 7.7 12.9 20.11,131,L,-61,Windy Hill,28071.0,10,10,20,11,St Kilda Saints,VIC,0,0,VIC,0,2,0.0,0.0,0.0,-13.0,-13.0,-13.0,-1,9.0,0.0,7.0,,0
14728,2,1983-04-04,1983,A,Hawthorn Hawks,3.3 3.7 5.10 5.15,45,2.6 5.11 8.15 9.16,70,L,-25,Princes Park,16295.0,5,15,9,16,Sydney Swans,VIC,0,0,NSW,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1,8.0,1.0,1.0,,0
10724,3,1983-04-09,1983,H,Collingwood Magpies,3.10 4.12 9.16 13.19,97,1.4 6.7 9.15 11.21,87,W,10,Waverley Park,69596.0,13,19,11,21,Carlton Blues,VIC,1,1,VIC,0,3,0.5,0.5,0.5,21.5,21.5,21.5,-1,7.0,0.5,3.0,,0
11122,3,1983-04-09,1983,A,Carlton Blues,1.4 6.7 9.15 11.21,87,3.10 4.12 9.16 13.19,97,L,-10,Waverley Park,69596.0,11,21,13,19,Collingwood Magpies,VIC,0,0,VIC,0,3,0.5,0.5,0.5,2.5,2.5,2.5,-1,7.0,0.5,3.0,,0
11506,3,1983-04-09,1983,A,Fitzroy Lions,2.7 5.7 6.12 7.14,56,1.3 6.9 8.11 14.13,97,L,-41,Junction Oval,21478.0,7,14,14,13,Essendon Bombers,VIC,0,0,VIC,0,3,0.5,0.5,0.5,30.0,30.0,30.0,1,5.0,0.5,3.0,,0
11907,3,1983-04-09,1983,H,Essendon Bombers,1.3 6.9 8.11 14.13,97,2.7 5.7 6.12 7.14,56,W,41,Junction Oval,21478.0,14,13,7,14,Fitzroy Lions,VIC,1,1,VIC,0,3,0.5,0.5,0.5,13.0,13.0,13.0,1,5.0,0.5,3.0,,0
12329,3,1983-04-09,1983,H,Richmond Tigers,2.3 3.9 7.11 13.16,94,3.3 3.4 5.6 6.10,46,W,48,GMHBA Stadium,21269.0,13,16,6,10,Geelong Cats,VIC,1,1,VIC,0,3,1.0,1.0,1.0,18.0,18.0,18.0,2,7.0,1.0,1.0,,0
12722,3,1983-04-09,1983,A,St Kilda Saints,4.3 12.6 17.10 26.15,171,3.1 4.4 6.4 6.6,42,W,129,Moorabbin Oval,19227.0,26,15,6,6,Hawthorn Hawks,VIC,1,0,VIC,0,3,1.0,1.0,1.0,22.0,22.0,22.0,2,5.0,1.0,1.0,,0
13516,3,1983-04-09,1983,A,Western Bulldogs,2.3 4.7 8.9 11.13,79,8.5 9.7 10.11 16.15,111,L,-32,Western Oval,20485.0,11,13,16,15,Melbourne Demons,VIC,0,0,VIC,0,3,0.5,0.5,0.5,4.5,4.5,4.5,1,7.0,0.5,3.0,,0
13974,3,1983-04-09,1983,A,Geelong Cats,3.3 3.4 5.6 6.10,46,2.3 3.9 7.11 13.16,94,L,-48,GMHBA Stadium,21269.0,6,10,13,16,Richmond Tigers,VIC,0,0,VIC,0,3,0.0,0.0,0.0,-39.5,-39.5,-39.5,-2,7.0,0.0,11.0,,0
14349,3,1983-04-09,1983,H,Hawthorn Hawks,3.1 4.4 6.4 6.6,42,4.3 12.6 17.10 26.15,171,L,-129,Moorabbin Oval,19227.0,6,6,26,15,St Kilda Saints,VIC,0,1,VIC,0,3,0.0,0.0,0.0,-37.0,-37.0,-37.0,-2,5.0,0.0,11.0,,0
15422,3,1983-04-09,1983,H,Melbourne Demons,8.5 9.7 10.11 16.15,111,2.3 4.7 8.9 11.13,79,W,32,Western Oval,20485.0,16,15,11,13,Western Bulldogs,VIC,1,1,VIC,0,3,0.5,0.5,0.5,-7.0,-7.0,-7.0,1,7.0,0.5,3.0,,0
13122,3,1983-04-10,1983,A,Sydney Swans,5.7 12.12 20.18 27.23,185,2.4 4.8 5.10 5.15,45,W,140,Sydney Cricket Ground,11831.0,27,23,5,15,North Melbourne Kangaroos,NSW,1,0,VIC,1,3,0.5,0.5,0.5,-16.0,-16.0,-16.0,-1,6.0,0.5,3.0,,0
14729,3,1983-04-10,1983,H,North Melbourne Kangaroos,2.4 4.8 5.10 5.15,45,5.7 12.12 20.18 27.23,185,L,-140,Sydney Cricket Ground,11831.0,5,15,27,23,Sydney Swans,NSW,0,1,NSW,0,3,0.5,0.5,0.5,-12.0,-12.0,-12.0,-1,6.0,0.5,3.0,,0
10725,4,1983-04-16,1983,A,Melbourne Demons,1.6 6.13 13.14 14.15,99,4.2 9.2 11.6 13.12,90,W,9,Melbourne Cricket Ground,38544.0,14,15,13,12,Carlton Blues,VIC,1,0,VIC,0,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,17.666666666666668,17.666666666666668,17.666666666666668,1,7.0,0.6666666666666666,3.0,,0
11123,4,1983-04-16,1983,A,Essendon Bombers,5.3 6.7 9.10 17.15,117,2.6 9.13 19.17 20.21,141,L,-24,Windy Hill,28250.0,17,15,20,21,Collingwood Magpies,VIC,0,0,VIC,0,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,-1.6666666666666667,-1.6666666666666667,-1.6666666666666667,-2,7.0,0.3333333333333333,7.0,,0
11507,4,1983-04-16,1983,H,Collingwood Magpies,2.6 9.13 19.17 20.21,141,5.3 6.7 9.10 17.15,117,W,24,Windy Hill,28250.0,20,21,17,15,Essendon Bombers,VIC,1,1,VIC,0,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.333333333333333,6.333333333333333,6.333333333333333,-1,7.0,0.3333333333333333,7.0,,0
11908,4,1983-04-16,1983,H,Sydney Swans,3.6 6.11 8.17 17.23,125,0.7 1.11 4.14 6.16,52,W,73,Junction Oval,10738.0,17,23,6,16,Fitzroy Lions,VIC,1,1,VIC,0,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,22.333333333333332,22.333333333333332,22.333333333333332,2,7.0,0.6666666666666666,3.0,,0
12330,4,1983-04-16,1983,A,St Kilda Saints,2.4 7.5 10.9 13.12,90,5.2 7.4 8.7 11.13,79,W,11,Waverley Park,20826.0,13,12,11,13,Geelong Cats,VIC,1,0,VIC,0,4,1.0,1.0,1.0,28.0,28.0,28.0,3,7.0,1.0,1.0,,0
12723,4,1983-04-16,1983,H,Western Bulldogs,2.4 3.11 7.19 12.25,97,4.5 8.8 9.15 17.16,118,L,-21,Princes Park,16504.0,12,25,17,16,Hawthorn Hawks,VIC,0,1,VIC,0,4,1.0,1.0,1.0,57.666666666666664,57.666666666666664,57.666666666666664,3,7.0,1.0,1.0,,0
13517,4,1983-04-16,1983,H,Carlton Blues,4.2 9.2 11.6 13.12,90,1.6 6.13 13.14 14.15,99,L,-9,Melbourne Cricket Ground,38544.0,13,12,14,15,Melbourne Demons,VIC,0,1,VIC,0,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,-7.666666666666667,-7.666666666666667,-7.666666666666667,-1,7.0,0.3333333333333333,7.0,,0
13123,4,1983-04-16,1983,H,Richmond Tigers,1.3 6.9 12.12 18.19,127,5.5 8.7 10.16 14.19,103,W,24,Aegis Park,14970.0,18,19,14,19,North Melbourne Kangaroos,UNKNOWN,1,1,VIC,0,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,36.0,36.0,36.0,1,6.0,0.6666666666666666,3.0,,0
13975,4,1983-04-16,1983,A,North Melbourne Kangaroos,5.5 8.7 10.16 14.19,103,1.3 6.9 12.12 18.19,127,L,-24,Aegis Park,14970.0,14,19,18,19,Richmond Tigers,UNKNOWN,0,0,VIC,1,4,0.0,0.0,0.0,-42.333333333333336,-42.333333333333336,-42.333333333333336,-3,7.0,0.0,11.0,,0
14350,4,1983-04-16,1983,H,Geelong Cats,5.2 7.4 8.7 11.13,79,2.4 7.5 10.9 13.12,90,L,-11,Waverley Park,20826.0,11,13,13,12,St Kilda Saints,VIC,0,1,VIC,0,4,0.0,0.0,0.0,-67.66666666666667,-67.66666666666667,-67.66666666666667,-3,7.0,0.0,11.0,,0
14730,4,1983-04-16,1983,A,Fitzroy Lions,0.7 1.11 4.14 6.16,52,3.6 6.11 8.17 17.23,125,L,-73,Junction Oval,10738.0,6,16,17,23,Sydney Swans,VIC,0,0,NSW,1,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,-54.666666666666664,-54.666666666666664,-54.666666666666664,-2,6.0,0.3333333333333333,7.0,,0
15423,4,1983-04-16,1983,A,Hawthorn Hawks,4.5 8.8 9.15 17.16,118,2.4 3.11 7.19 12.25,97,W,21,Princes Park,16504.0,17,16,12,25,Western Bulldogs,VIC,1,0,VIC,0,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0,6.0,6.0,2,7.0,0.6666666666666666,3.0,,0
10726,5,1983-04-23,1983,H,Fitzroy Lions,2.4 6.7 7.11 9.11,65,1.7 6.9 14.13 18.17,125,L,-60,Princes Park,25789.0,9,11,18,17,Carlton Blues,VIC,0,1,VIC,0,5,0.6666666666666666,0.75,0.75,0.6666666666666666,15.5,15.5,2,7.0,0.75,2.0,,0
11124,5,1983-04-23,1983,H,Hawthorn Hawks,3.3 4.10 5.14 9.19,73,5.1 7.8 12.9 14.11,95,L,-22,Victoria Park,28506.0,9,19,14,11,Collingwood Magpies,VIC,0,1,VIC,0,5,0.0,0.25,0.25,-13.0,-7.25,-7.25,-3,7.0,0.25,8.0,,0
11909,5,1983-04-23,1983,A,Carlton Blues,1.7 6.9 14.13 18.17,125,2.4 6.7 7.11 9.11,65,W,60,Princes Park,25789.0,18,17,9,11,Fitzroy Lions,VIC,1,0,VIC,0,5,1.0,0.75,0.75,53.0,35.0,35.0,3,7.0,0.75,2.0,,0
12724,5,1983-04-23,1983,A,Collingwood Magpies,5.1 7.8 12.9 14.11,95,3.3 4.10 5.14 9.19,73,W,22,Victoria Park,28506.0,14,11,9,19,Hawthorn Hawks,VIC,1,0,VIC,0,5,0.6666666666666666,0.75,0.75,44.333333333333336,38.0,38.0,-1,7.0,0.75,2.0,,0
14351,5,1983-04-24,1983,A,Sydney Swans,4.4 8.8 16.10 21.11,137,8.3 13.8 17.12 24.16,160,L,-23,Sydney Cricket Ground,11276.0,21,11,24,16,St Kilda Saints,NSW,0,0,VIC,1,5,0.0,0.0,0.0,-67.0,-53.5,-53.5,-4,8.0,0.0,11.0,,0
14731,5,1983-04-24,1983,H,St Kilda Saints,8.3 13.8 17.12 24.16,160,4.4 8.8 16.10 21.11,137,W,23,Sydney Cricket Ground,11276.0,24,16,21,11,Sydney Swans,NSW,1,1,NSW,0,5,0.0,0.25,0.25,-79.33333333333333,-59.25,-59.25,-3,8.0,0.25,8.0,,0
11508,5,1983-04-25,1983,H,North Melbourne Kangaroos,4.2 10.6 14.7 20.8,128,2.6 6.10 14.15 17.21,123,W,5,Waverley Park,47722.0,20,8,17,21,Essendon Bombers,VIC,1,1,VIC,0,5,0.6666666666666666,0.5,0.5,14.666666666666666,10.75,10.75,1,9.0,0.5,7.0,,0
12331,5,1983-04-25,1983,H,Melbourne Demons,7.2 10.4 13.8 16.14,110,1.2 6.8 15.13 18.13,121,L,-11,GMHBA Stadium,28591.0,16,14,18,13,Geelong Cats,VIC,0,1,VIC,0,5,1.0,1.0,1.0,21.333333333333332,23.75,23.75,4,9.0,1.0,1.0,,0
13518,5,1983-04-25,1983,A,Geelong Cats,1.2 6.8 15.13 18.13,121,7.2 10.4 13.8 16.14,110,W,11,GMHBA Stadium,28591.0,18,13,16,14,Melbourne Demons,VIC,1,0,VIC,0,5,0.3333333333333333,0.25,0.25,-7.333333333333333,-8.0,-8.0,-2,9.0,0.25,8.0,,0
13124,5,1983-04-25,1983,A,Essendon Bombers,2.6 6.10 14.15 17.21,123,4.2 10.6 14.7 20.8,128,L,-5,Waverley Park,47722.0,17,21,20,8,North Melbourne Kangaroos,VIC,0,0,VIC,0,5,0.6666666666666666,0.75,0.75,39.666666666666664,33.0,33.0,2,9.0,0.75,2.0,,0
13976,5,1983-04-25,1983,H,Western Bulldogs,0.3 8.8 13.11 17.12,114,10.3 12.3 16.5 18.8,116,L,-2,Melbourne Cricket Ground,51651.0,17,12,18,8,Richmond Tigers,VIC,0,1,VIC,0,5,0.0,0.0,0.0,-30.333333333333332,-37.75,-37.75,-4,9.0,0.0,11.0,,0
15424,5,1983-04-25,1983,A,Richmond Tigers,10.3 12.3 16.5 18.8,116,0.3 8.8 13.11 17.12,114,W,2,Melbourne Cricket Ground,51651.0,18,8,17,12,Western Bulldogs,VIC,1,0,VIC,0,5,1.0,0.75,0.75,23.333333333333332,9.75,9.75,3,9.0,0.75,2.0,,0
10727,6,1983-04-30,1983,H,Geelong Cats,2.3 6.5 10.10 12.13,85,4.1 6.5 9.7 14.11,95,L,-10,Princes Park,25480.0,12,13,14,11,Carlton Blues,VIC,0,1,VIC,0,6,0.6666666666666666,0.6,0.6,-13.666666666666666,0.4,0.4,-1,7.0,0.6,5.0,,0
11125,6,1983-04-30,1983,H,North Melbourne Kangaroos,2.4 9.9 11.11 19.16,130,2.10 8.12 13.17 15.18,108,W,22,Victoria Park,28315.0,19,16,15,18,Collingwood Magpies,VIC,1,1,VIC,0,6,0.0,0.2,0.2,-18.666666666666668,-10.2,-10.2,-4,7.0,0.2,10.0,,0
11509,6,1983-04-30,1983,H,Western Bulldogs,3.6 11.14 17.16 27.19,181,3.2 3.3 5.5 7.7,49,W,132,Windy Hill,26387.0,27,19,7,7,Essendon Bombers,VIC,1,1,VIC,0,6,0.6666666666666666,0.6,0.6,-4.0,9.6,9.6,2,5.0,0.6,5.0,,0
11910,6,1983-04-30,1983,A,St Kilda Saints,7.4 12.8 17.10 22.11,143,2.2 6.4 9.9 15.12,102,W,41,Moorabbin Oval,16154.0,22,11,15,12,Fitzroy Lions,VIC,1,0,VIC,0,6,1.0,0.8,0.8,58.0,40.0,40.0,4,7.0,0.8,1.0,,0
12332,6,1983-04-30,1983,A,Carlton Blues,4.1 6.5 9.7 14.11,95,2.3 6.5 10.10 12.13,85,W,10,Princes Park,25480.0,14,11,12,13,Geelong Cats,VIC,1,0,VIC,0,6,0.6666666666666666,0.8,0.8,16.0,16.8,16.8,-1,5.0,0.8,1.0,,0
12725,6,1983-04-30,1983,H,Richmond Tigers,1.4 5.7 8.11 12.16,88,2.5 7.8 9.15 15.16,106,L,-18,Waverley Park,33096.0,12,16,15,16,Hawthorn Hawks,VIC,0,1,VIC,0,6,0.6666666666666666,0.8,0.8,43.333333333333336,34.8,34.8,1,7.0,0.8,1.0,,0
13519,6,1983-04-30,1983,H,Sydney Swans,3.6 6.10 11.17 18.18,126,2.7 5.13 8.17 12.21,93,W,33,Melbourne Cricket Ground,22590.0,18,18,12,21,Melbourne Demons,VIC,1,1,VIC,0,6,0.3333333333333333,0.4,0.4,-10.0,-4.2,-4.2,1,5.0,0.4,8.0,,0
13125,6,1983-04-30,1983,A,Collingwood Magpies,2.10 8.12 13.17 15.18,108,2.4 9.9 11.11 19.16,130,L,-22,Victoria Park,28315.0,15,18,19,16,North Melbourne Kangaroos,VIC,0,0,VIC,0,6,0.6666666666666666,0.6,0.6,53.0,25.4,25.4,-1,5.0,0.6,5.0,,0
13977,6,1983-04-30,1983,A,Hawthorn Hawks,2.5 7.8 9.15 15.16,106,1.4 5.7 8.11 12.16,88,W,18,Waverley Park,33096.0,15,16,12,16,Richmond Tigers,VIC,1,0,VIC,0,6,0.0,0.0,0.0,-24.666666666666668,-30.6,-30.6,-5,5.0,0.0,11.0,,0
14352,6,1983-04-30,1983,H,Fitzroy Lions,2.2 6.4 9.9 15.12,102,7.4 12.8 17.10 22.11,143,L,-41,Moorabbin Oval,16154.0,15,12,22,11,St Kilda Saints,VIC,0,1,VIC,0,6,0.0,0.0,0.0,-54.333333333333336,-47.4,-47.4,-5,6.0,0.0,11.0,,0
14732,6,1983-04-30,1983,A,Melbourne Demons,2.7 5.13 8.17 12.21,93,3.6 6.10 11.17 18.18,126,L,-33,Melbourne Cricket Ground,22590.0,12,21,18,18,Sydney Swans,VIC,0,0,NSW,1,6,0.3333333333333333,0.4,0.4,-63.333333333333336,-42.8,-42.8,1,6.0,0.4,8.0,,0
15425,6,1983-04-30,1983,A,Essendon Bombers,3.2 3.3 5.5 7.7,49,3.6 11.14 17.16 27.19,181,L,-132,Windy Hill,26387.0,7,7,27,19,Western Bulldogs,VIC,0,0,VIC,0,6,1.0,0.8,0.8,18.333333333333332,8.2,8.2,4,5.0,0.8,1.0,,0
11126,7,1983-05-07,1983,A,Western Bulldogs,5.3 8.3 13.4 14.4,88,3.2 4.7 7.10 11.16,82,W,6,Western Oval,31479.0,14,4,11,16,Collingwood Magpies,VIC,1,0,VIC,0,7,0.3333333333333333,0.2,0.3333333333333333,-8.0,-7.8,-4.833333333333333,1,7.0,0.3333333333333333,9.0,,0
11510,7,1983-05-07,1983,A,Richmond Tigers,7.3 11.5 16.6 21.11,137,4.4 9.7 12.12 16.16,112,W,25,Melbourne Cricket Ground,49707.0,21,11,16,16,Essendon Bombers,VIC,1,0,VIC,0,7,1.0,0.8,0.6666666666666666,53.666666666666664,36.2,30.0,3,7.0,0.6666666666666666,3.0,,0
11911,7,1983-05-07,1983,H,Geelong Cats,3.3 5.3 9.8 11.10,76,1.1 4.4 7.8 9.13,67,W,9,Junction Oval,18770.0,11,10,9,13,Fitzroy Lions,VIC,1,1,VIC,0,7,1.0,1.0,0.8333333333333334,58.0,52.0,40.166666666666664,5,7.0,0.8333333333333334,1.0,,0
12333,7,1983-05-07,1983,A,Fitzroy Lions,1.1 4.4 7.8 9.13,67,3.3 5.3 9.8 11.10,76,L,-9,Junction Oval,18770.0,9,13,11,10,Geelong Cats,VIC,0,0,VIC,0,7,0.6666666666666666,0.8,0.8333333333333334,3.3333333333333335,12.6,15.666666666666666,1,7.0,0.8333333333333334,1.0,,0
12726,7,1983-05-07,1983,H,North Melbourne Kangaroos,3.2 6.6 9.11 13.13,91,4.5 8.11 13.15 21.16,142,L,-51,Princes Park,13958.0,13,13,21,16,Hawthorn Hawks,VIC,0,1,VIC,0,7,0.3333333333333333,0.6,0.6666666666666666,-5.666666666666667,27.4,26.0,-1,7.0,0.6666666666666666,3.0,,0
13520,7,1983-05-07,1983,H,St Kilda Saints,5.2 8.4 12.9 16.12,108,3.1 8.3 9.5 11.9,75,W,33,Waverley Park,25192.0,16,12,11,9,Melbourne Demons,VIC,1,1,VIC,0,7,0.6666666666666666,0.6,0.5,11.666666666666666,4.4,2.0,2,7.0,0.5,6.0,,0
13126,7,1983-05-07,1983,A,Hawthorn Hawks,4.5 8.11 13.15 21.16,142,3.2 6.6 9.11 13.13,91,W,51,Princes Park,13958.0,21,16,13,13,North Melbourne Kangaroos,VIC,1,0,VIC,0,7,0.3333333333333333,0.4,0.5,-1.0,18.4,17.5,-2,7.0,0.5,6.0,,0
13978,7,1983-05-07,1983,H,Essendon Bombers,4.4 9.7 12.12 16.16,112,7.3 11.5 16.6 21.11,137,L,-25,Melbourne Cricket Ground,49707.0,16,16,21,11,Richmond Tigers,VIC,0,1,VIC,0,7,0.3333333333333333,0.2,0.16666666666666666,-2.6666666666666665,-15.0,-22.5,1,7.0,0.16666666666666666,11.0,,0
14353,7,1983-05-07,1983,A,Melbourne Demons,3.1 8.3 9.5 11.9,75,5.2 8.4 12.9 16.12,108,L,-33,Waverley Park,25192.0,11,9,16,12,St Kilda Saints,VIC,0,0,VIC,0,7,0.0,0.0,0.0,-25.0,-53.0,-46.333333333333336,-6,7.0,0.0,12.0,,0
15426,7,1983-05-07,1983,H,Collingwood Magpies,3.2 4.7 7.10 11.16,82,5.3 8.3 13.4 14.4,88,L,-6,Western Oval,31479.0,11,16,14,4,Western Bulldogs,VIC,0,1,VIC,0,7,0.6666666666666666,0.8,0.6666666666666666,-36.333333333333336,-12.0,-15.166666666666666,-1,7.0,0.6666666666666666,3.0,,0
10728,7,1983-05-08,1983,A,Sydney Swans,1.3 14.7 15.12 22.17,149,7.4 10.6 15.6 18.10,118,W,31,Sydney Cricket Ground,15432.0,22,17,18,10,Carlton Blues,NSW,1,0,VIC,1,7,0.3333333333333333,0.4,0.5,-20.333333333333332,-13.6,-1.3333333333333333,-2,8.0,0.5,6.0,,0
14733,7,1983-05-08,1983,H,Carlton Blues,7.4 10.6 15.6 18.10,118,1.3 14.7 15.12 22.17,149,L,-31,Sydney Cricket Ground,15432.0,18,10,22,17,Sydney Swans,NSW,0,1,NSW,0,7,0.3333333333333333,0.2,0.3333333333333333,-27.666666666666668,-49.6,-41.166666666666664,-1,8.0,0.3333333333333333,9.0,,0
