team,opponent,year,round,match_date,result,home_away,venue,crowd,score,margin
St Kilda Saints,Fitzroy Lions,1984,22,1984-09-01,L,A,Junction Oval,15156.0,,-57
St Kilda Saints,Sydney Swans,1985,1,1985-03-30,L,H,Moorabbin Oval,16499.0,,-110
St Kilda Saints,Carlton Blues,1985,2,1985-04-06,L,H,Moorabbin Oval,18655.0,,-140
St Kilda Saints,Richmond Tigers,1985,3,1985-04-13,L,A,Melbourne Cricket Ground,17753.0,,-113
St Kilda Saints,North Melbourne Kangaroos,1985,4,1985-04-20,L,A,Melbourne Cricket Ground,11354.0,,-39
St Kilda Saints,Fitzroy Lions,1985,5,1985-04-25,W,H,Waverley Park,20480.0,,4
St Kilda Saints,Hawthorn Hawks,1985,7,1985-05-11,L,A,Princes Park,9762.0,,-126
Carlton Blues,Sydney Swans,1985,7,1985-05-12,W,A,Sydney Cricket Ground,12507.0,,5
Carlton Blues,Richmond Tigers,1985,8,1985-05-18,W,H,Princes Park,21053.0,,17
St Kilda Saints,Melbourne Demons,1985,8,1985-05-18,L,A,Waverley Park,16282.0,,-52
Carlton Blues,Fitzroy Lions,1985,9,1985-05-25,W,A,Waverley Park,29455.0,,1
St Kilda Saints,Collingwood Magpies,1985,9,1985-05-25,L,H,Moorabbin Oval,20348.0,,-25
Carlton Blues,Hawthorn Hawks,1985,10,1985-06-01,L,H,Princes Park,25394.0,,-79
St Kilda Saints,Essendon Bombers,1985,10,1985-06-01,L,H,Moorabbin Oval,16736.0,,-26
Sydney Swans,Melbourne Demons,1985,10,1985-06-01,L,A,Melbourne Cricket Ground,16764.0,,-17
St Kilda Saints,Western Bulldogs,1985,11,1985-06-08,L,A,Western Oval,17538.0,,-21
Sydney Swans,Essendon Bombers,1985,11,1985-06-08,L,A,Windy Hill,17652.0,,-42
Carlton Blues,Collingwood Magpies,1985,11,1985-06-10,W,A,Waverley Park,56255.0,,23
Carlton Blues,Western Bulldogs,1985,12,1985-06-15,L,A,Western Oval,20707.0,,-47
St Kilda Saints,Sydney Swans,1985,12,1985-06-16,L,A,Sydney Cricket Ground,7811.0,,-67
Sydney Swans,St Kilda Saints,1985,12,1985-06-16,W,H,Sydney Cricket Ground,7811.0,,67
Carlton Blues,St Kilda Saints,1985,13,1985-06-22,W,H,Princes Park,13527.0,,32
St Kilda Saints,Carlton Blues,1985,13,1985-06-22,L,A,Princes Park,13527.0,,-32
Carlton Blues,North Melbourne Kangaroos,1985,14,1985-06-28,W,A,Melbourne Cricket Ground,32861.0,,76
St Kilda Saints,Richmond Tigers,1985,14,1985-06-29,L,H,Moorabbin Oval,14243.0,,-36
Carlton Blues,Geelong Cats,1985,15,1985-07-06,W,A,GMHBA Stadium,19813.0,,26
Essendon Bombers,Collingwood Magpies,1985,15,1985-07-06,W,A,Victoria Park,26014.0,,11
St Kilda Saints,North Melbourne Kangaroos,1985,15,1985-07-06,L,H,Waverley Park,11829.0,,-64
St Kilda Saints,Fitzroy Lions,1985,16,1985-07-13,W,A,Victoria Park,8735.0,,9
Carlton Blues,Melbourne Demons,1985,16,1985-07-20,W,H,Waverley Park,17920.0,,60
Carlton Blues,Essendon Bombers,1985,17,1985-07-27,W,H,Princes Park,28777.0,,52
St Kilda Saints,Geelong Cats,1985,17,1985-07-27,L,A,GMHBA Stadium,12765.0,,-21
Carlton Blues,Sydney Swans,1985,18,1985-08-03,W,H,Princes Park,15717.0,,34
St Kilda Saints,Hawthorn Hawks,1985,18,1985-08-03,L,H,Moorabbin Oval,10911.0,,-41
Carlton Blues,Richmond Tigers,1985,19,1985-08-10,W,A,Melbourne Cricket Ground,24225.0,,73
Fitzroy Lions,Western Bulldogs,1985,19,1985-08-10,L,H,Victoria Park,11022.0,,-5
St Kilda Saints,Melbourne Demons,1985,19,1985-08-10,L,H,Moorabbin Oval,11779.0,,-9
Carlton Blues,Fitzroy Lions,1985,20,1985-08-17,W,H,Princes Park,16906.0,,28
Fitzroy Lions,Carlton Blues,1985,20,1985-08-17,L,A,Princes Park,16906.0,,-28
St Kilda Saints,Collingwood Magpies,1985,20,1985-08-17,L,A,Waverley Park,15709.0,,-51
Sydney Swans,Geelong Cats,1985,20,1985-08-17,L,A,GMHBA Stadium,12422.0,,-27
Carlton Blues,Hawthorn Hawks,1985,21,1985-08-24,L,A,Princes Park,31062.0,,-23
Fitzroy Lions,North Melbourne Kangaroos,1985,21,1985-08-24,L,A,Melbourne Cricket Ground,14581.0,,-8
St Kilda Saints,Essendon Bombers,1985,21,1985-08-24,L,A,Windy Hill,14133.0,,-93
Sydney Swans,Melbourne Demons,1985,21,1985-08-25,W,H,Sydney Cricket Ground,7942.0,,68
Carlton Blues,Collingwood Magpies,1985,22,1985-08-31,W,H,Waverley Park,37027.0,,6
Fitzroy Lions,Geelong Cats,1985,22,1985-08-31,L,H,Victoria Park,9120.0,,-23
St Kilda Saints,Western Bulldogs,1985,22,1985-08-31,W,H,Moorabbin Oval,14236.0,,18
Essendon Bombers,Sydney Swans,1985,22,1985-09-01,W,A,Sydney Cricket Ground,12180.0,,87
Sydney Swans,Essendon Bombers,1985,22,1985-09-01,L,H,Sydney Cricket Ground,12180.0,,-87
Carlton Blues,North Melbourne Kangaroos,1985,EF,1985-09-07,L,A,Waverley Park,49126.0,,-19
Essendon Bombers,Hawthorn Hawks,1985,SF,1985-09-14,W,H,Waverley Park,67063.0,,40
Essendon Bombers,Hawthorn Hawks,1985,GF,1985-09-28,W,H,Melbourne Cricket Ground,100042.0,,78
Essendon Bombers,Collingwood Magpies,1986,1,1986-03-29,W,A,Victoria Park,28634.0,,65
Melbourne Demons,Richmond Tigers,1986,1,1986-03-29,W,A,Melbourne Cricket Ground,25219.0,,10
Carlton Blues,Hawthorn Hawks,1986,1,1986-03-31,L,A,Waverley Park,48107.0,,-36
St Kilda Saints,Western Bulldogs,1986,1,1986-03-31,L,A,Western Oval,22449.0,,-17
Carlton Blues,Richmond Tigers,1986,2,1986-04-05,W,H,Princes Park,20811.0,,30
Essendon Bombers,Geelong Cats,1986,2,1986-04-05,W,H,Windy Hill,19387.0,,97
Fitzroy Lions,Western Bulldogs,1986,2,1986-04-05,W,H,Waverley Park,20439.0,,10
Melbourne Demons,St Kilda Saints,1986,2,1986-04-05,W,H,Melbourne Cricket Ground,20801.0,,28
Carlton Blues,St Kilda Saints,1986,3,1986-04-12,W,A,Moorabbin Oval,19410.0,,88
Essendon Bombers,Western Bulldogs,1986,3,1986-04-12,W,A,Waverley Park,33546.0,,8
Fitzroy Lions,Melbourne Demons,1986,3,1986-04-12,W,H,Victoria Park,12599.0,,16
Melbourne Demons,Fitzroy Lions,1986,3,1986-04-12,L,A,Victoria Park,12599.0,,-16
Carlton Blues,Fitzroy Lions,1986,4,1986-04-19,W,H,Princes Park,28021.0,,81
Essendon Bombers,Melbourne Demons,1986,4,1986-04-19,W,H,Windy Hill,18265.0,,62
Fitzroy Lions,Carlton Blues,1986,4,1986-04-19,L,A,Princes Park,28021.0,,-81
Melbourne Demons,Essendon Bombers,1986,4,1986-04-19,L,A,Windy Hill,18265.0,,-62
St Kilda Saints,Hawthorn Hawks,1986,4,1986-04-19,L,H,Moorabbin Oval,11670.0,,-12
Carlton Blues,Essendon Bombers,1986,5,1986-04-25,W,H,Waverley Park,68151.0,,16
Essendon Bombers,Carlton Blues,1986,5,1986-04-25,L,A,Waverley Park,68151.0,,-16
Melbourne Demons,Sydney Swans,1986,5,1986-04-25,L,H,Melbourne Cricket Ground,40117.0,,-9
Fitzroy Lions,Hawthorn Hawks,1986,5,1986-04-26,W,H,Victoria Park,13311.0,,14
St Kilda Saints,Richmond Tigers,1986,5,1986-04-26,L,A,Melbourne Cricket Ground,21611.0,,-51
St Kilda Saints,North Melbourne Kangaroos,1986,6,1986-05-02,L,A,Melbourne Cricket Ground,13522.0,,-36
Essendon Bombers,Hawthorn Hawks,1986,6,1986-05-03,L,A,Waverley Park,38381.0,,-24
Fitzroy Lions,Richmond Tigers,1986,6,1986-05-03,L,H,Princes Park,11957.0,,-1
Geelong Cats,Western Bulldogs,1986,6,1986-05-03,W,H,GMHBA Stadium,16157.0,,19
Melbourne Demons,Collingwood Magpies,1986,6,1986-05-03,L,H,Melbourne Cricket Ground,32472.0,,-38
Carlton Blues,Sydney Swans,1986,6,1986-05-04,L,A,Sydney Cricket Ground,37873.0,,-22
Carlton Blues,Collingwood Magpies,1986,7,1986-05-10,W,A,Victoria Park,27069.0,,40
Essendon Bombers,Richmond Tigers,1986,7,1986-05-10,W,A,Melbourne Cricket Ground,38456.0,,40
Fitzroy Lions,St Kilda Saints,1986,7,1986-05-10,W,A,Moorabbin Oval,11296.0,,13
Geelong Cats,Melbourne Demons,1986,7,1986-05-10,W,H,Waverley Park,14504.0,,31
Melbourne Demons,Geelong Cats,1986,7,1986-05-10,L,A,Waverley Park,14504.0,,-31
St Kilda Saints,Fitzroy Lions,1986,7,1986-05-10,L,H,Moorabbin Oval,11296.0,,-13
Carlton Blues,Geelong Cats,1986,8,1986-05-17,W,H,Princes Park,21829.0,,29
Fitzroy Lions,North Melbourne Kangaroos,1986,8,1986-05-17,L,H,Victoria Park,12189.0,,-23
Geelong Cats,Carlton Blues,1986,8,1986-05-17,L,A,Princes Park,21829.0,,-29
Melbourne Demons,Western Bulldogs,1986,8,1986-05-17,W,H,Melbourne Cricket Ground,18360.0,,52
St Kilda Saints,Essendon Bombers,1986,8,1986-05-17,L,A,Windy Hill,15132.0,,-62
Sydney Swans,Richmond Tigers,1986,8,1986-05-18,L,H,Sydney Cricket Ground,25219.0,,-1
Carlton Blues,Western Bulldogs,1986,9,1986-05-24,L,A,Western Oval,21478.0,,-14
Fitzroy Lions,Essendon Bombers,1986,9,1986-05-24,W,H,Victoria Park,14979.0,,45
Melbourne Demons,North Melbourne Kangaroos,1986,9,1986-05-24,L,A,Waverley Park,14478.0,,-35
St Kilda Saints,Sydney Swans,1986,9,1986-05-24,L,H,Moorabbin Oval,12492.0,,-9
Sydney Swans,St Kilda Saints,1986,9,1986-05-24,W,A,Moorabbin Oval,12492.0,,9
Essendon Bombers,North Melbourne Kangaroos,1986,10,1986-05-30,L,A,Melbourne Cricket Ground,40531.0,,-16
Carlton Blues,Melbourne Demons,1986,10,1986-05-31,W,A,Melbourne Cricket Ground,27440.0,,116
Melbourne Demons,Carlton Blues,1986,10,1986-05-31,L,H,Melbourne Cricket Ground,27440.0,,-116
St Kilda Saints,Collingwood Magpies,1986,10,1986-05-31,L,A,Waverley Park,24865.0,,-42
Fitzroy Lions,Sydney Swans,1986,10,1986-06-01,L,A,Sydney Cricket Ground,23091.0,,-25
Sydney Swans,Fitzroy Lions,1986,10,1986-06-01,W,H,Sydney Cricket Ground,23091.0,,25
Fitzroy Lions,Collingwood Magpies,1986,11,1986-06-07,L,A,Victoria Park,27166.0,,-44
St Kilda Saints,Geelong Cats,1986,11,1986-06-07,L,H,Waverley Park,21805.0,,-38
Carlton Blues,North Melbourne Kangaroos,1986,11,1986-06-09,W,H,Princes Park,32557.0,,78
Essendon Bombers,Sydney Swans,1986,11,1986-06-09,L,H,Windy Hill,27267.0,,-20
Sydney Swans,Essendon Bombers,1986,11,1986-06-09,W,A,Windy Hill,27267.0,,20
Sydney Swans,North Melbourne Kangaroos,1986,12,1986-06-13,L,H,Sydney Cricket Ground,26770.0,,-4
Essendon Bombers,Collingwood Magpies,1986,12,1986-06-14,L,H,Waverley Park,49022.0,,-26
Melbourne Demons,Richmond Tigers,1986,12,1986-06-14,L,H,Melbourne Cricket Ground,19032.0,,-9
St Kilda Saints,Western Bulldogs,1986,12,1986-06-14,L,H,Moorabbin Oval,12520.0,,-79
Carlton Blues,Hawthorn Hawks,1986,12,1986-06-15,L,H,Melbourne Cricket Ground,57634.0,,-23
Carlton Blues,Richmond Tigers,1986,13,1986-06-21,W,A,Waverley Park,26231.0,,59
Essendon Bombers,Geelong Cats,1986,13,1986-06-21,W,A,GMHBA Stadium,17783.0,,12
Fitzroy Lions,Western Bulldogs,1986,13,1986-06-21,L,A,Western Oval,16348.0,,-88
Melbourne Demons,St Kilda Saints,1986,13,1986-06-21,L,A,Moorabbin Oval,11242.0,,-52
St Kilda Saints,Melbourne Demons,1986,13,1986-06-21,W,H,Moorabbin Oval,11242.0,,52
Sydney Swans,Collingwood Magpies,1986,13,1986-06-21,W,A,Victoria Park,27611.0,,1
Western Bulldogs,Fitzroy Lions,1986,13,1986-06-21,W,H,Western Oval,16348.0,,88
Carlton Blues,St Kilda Saints,1986,14,1986-06-28,W,H,Princes Park,14718.0,,87
Essendon Bombers,Western Bulldogs,1986,14,1986-06-28,L,H,Windy Hill,21312.0,,-29
Fitzroy Lions,Melbourne Demons,1986,14,1986-06-28,L,A,Waverley Park,10049.0,,-44
Melbourne Demons,Fitzroy Lions,1986,14,1986-06-28,W,H,Waverley Park,10049.0,,44
St Kilda Saints,Carlton Blues,1986,14,1986-06-28,L,A,Princes Park,14718.0,,-87
Western Bulldogs,Essendon Bombers,1986,14,1986-06-28,W,A,Windy Hill,21312.0,,29
Sydney Swans,Geelong Cats,1986,14,1986-06-29,W,H,Sydney Cricket Ground,22106.0,,22
Carlton Blues,Fitzroy Lions,1986,15,1986-07-05,L,A,Waverley Park,14962.0,,-6
Essendon Bombers,Melbourne Demons,1986,15,1986-07-05,W,A,Melbourne Cricket Ground,21560.0,,122
Fitzroy Lions,Carlton Blues,1986,15,1986-07-05,W,H,Waverley Park,14962.0,,6
Melbourne Demons,Essendon Bombers,1986,15,1986-07-05,L,H,Melbourne Cricket Ground,21560.0,,-122
St Kilda Saints,Hawthorn Hawks,1986,15,1986-07-05,L,A,Princes Park,6979.0,,-21
Sydney Swans,Western Bulldogs,1986,15,1986-07-05,W,A,Western Oval,21963.0,,16
Western Bulldogs,Sydney Swans,1986,15,1986-07-05,L,H,Western Oval,21963.0,,-16
Carlton Blues,North Melbourne Kangaroos,1986,16,1986-07-12,W,A,Melbourne Cricket Ground,24506.0,,57
Melbourne Demons,Hawthorn Hawks,1986,16,1986-07-12,L,H,Waverley Park,10272.0,,-67
St Kilda Saints,Geelong Cats,1986,16,1986-07-12,L,A,GMHBA Stadium,9491.0,,-27
Essendon Bombers,Sydney Swans,1986,16,1986-07-13,L,A,Sydney Cricket Ground,33192.0,,-59
Sydney Swans,Essendon Bombers,1986,16,1986-07-13,W,H,Sydney Cricket Ground,33192.0,,59
Fitzroy Lions,Collingwood Magpies,1986,16,1986-07-19,L,H,Waverley Park,34488.0,,-47
Carlton Blues,Essendon Bombers,1986,17,1986-07-20,L,A,Melbourne Cricket Ground,51646.0,,-25
Essendon Bombers,Carlton Blues,1986,17,1986-07-20,W,H,Melbourne Cricket Ground,51646.0,,25
Fitzroy Lions,Hawthorn Hawks,1986,17,1986-07-26,W,A,Princes Park,9886.0,,51
St Kilda Saints,Richmond Tigers,1986,17,1986-07-26,W,H,Moorabbin Oval,11889.0,,75
Melbourne Demons,Sydney Swans,1986,17,1986-07-27,L,A,Sydney Cricket Ground,19110.0,,-124
Sydney Swans,Melbourne Demons,1986,17,1986-07-27,W,H,Sydney Cricket Ground,19110.0,,124
Carlton Blues,Sydney Swans,1986,18,1986-08-02,W,H,Princes Park,27343.0,,17
Essendon Bombers,Hawthorn Hawks,1986,18,1986-08-02,W,H,Windy Hill,21223.0,,87
Fitzroy Lions,Richmond Tigers,1986,18,1986-08-02,W,A,Melbourne Cricket Ground,15200.0,,9
Geelong Cats,Western Bulldogs,1986,18,1986-08-02,L,A,Waverley Park,11460.0,,-3
Melbourne Demons,Collingwood Magpies,1986,18,1986-08-02,W,A,Victoria Park,16943.0,,13
St Kilda Saints,North Melbourne Kangaroos,1986,18,1986-08-02,L,H,Moorabbin Oval,11413.0,,-37
Sydney Swans,Carlton Blues,1986,18,1986-08-02,L,A,Princes Park,27343.0,,-17
Essendon Bombers,Richmond Tigers,1986,19,1986-08-09,W,H,Waverley Park,30349.0,,79
Fitzroy Lions,St Kilda Saints,1986,19,1986-08-09,W,H,Victoria Park,8311.0,,85
Geelong Cats,Melbourne Demons,1986,19,1986-08-09,L,A,Melbourne Cricket Ground,32635.0,,-7
Melbourne Demons,Geelong Cats,1986,19,1986-08-09,W,H,Melbourne Cricket Ground,32635.0,,7
St Kilda Saints,Fitzroy Lions,1986,19,1986-08-09,L,A,Victoria Park,8311.0,,-85
Carlton Blues,Collingwood Magpies,1986,19,1986-08-10,W,H,Melbourne Cricket Ground,72505.0,,49
Sydney Swans,Hawthorn Hawks,1986,19,1986-08-10,L,H,Sydney Cricket Ground,39763.0,,-98
Carlton Blues,Geelong Cats,1986,20,1986-08-16,L,A,GMHBA Stadium,13086.0,,-29
Essendon Bombers,St Kilda Saints,1986,20,1986-08-16,W,A,Moorabbin Oval,13171.0,,34
Fitzroy Lions,North Melbourne Kangaroos,1986,20,1986-08-16,L,A,Waverley Park,15931.0,,-32
Geelong Cats,Carlton Blues,1986,20,1986-08-16,W,H,GMHBA Stadium,13086.0,,29
Melbourne Demons,Western Bulldogs,1986,20,1986-08-16,L,A,Western Oval,11924.0,,-57
St Kilda Saints,Essendon Bombers,1986,20,1986-08-16,L,H,Moorabbin Oval,13171.0,,-34
Western Bulldogs,Melbourne Demons,1986,20,1986-08-16,W,H,Western Oval,11924.0,,57
Carlton Blues,Western Bulldogs,1986,21,1986-08-23,W,H,Waverley Park,28697.0,,79
Essendon Bombers,Fitzroy Lions,1986,21,1986-08-23,L,H,Windy Hill,18882.0,,-35
Fitzroy Lions,Essendon Bombers,1986,21,1986-08-23,W,A,Windy Hill,18882.0,,35
Geelong Cats,Hawthorn Hawks,1986,21,1986-08-23,L,A,Princes Park,9659.0,,-135
Melbourne Demons,North Melbourne Kangaroos,1986,21,1986-08-23,W,H,Melbourne Cricket Ground,15110.0,,85
St Kilda Saints,Sydney Swans,1986,21,1986-08-24,L,A,Sydney Cricket Ground,18179.0,,-29
Carlton Blues,Melbourne Demons,1986,22,1986-08-30,W,H,Princes Park,17471.0,,86
Essendon Bombers,North Melbourne Kangaroos,1986,22,1986-08-30,L,H,Windy Hill,17982.0,,-22
Fitzroy Lions,Sydney Swans,1986,22,1986-08-30,W,H,Victoria Park,17141.0,,10
Geelong Cats,Richmond Tigers,1986,22,1986-08-30,W,A,Melbourne Cricket Ground,13569.0,,32
St Kilda Saints,Collingwood Magpies,1986,22,1986-08-30,L,H,Waverley Park,30442.0,,-52
Essendon Bombers,Fitzroy Lions,1986,EF,1986-09-06,L,A,Waverley Park,59420.0,,-1
Fitzroy Lions,Essendon Bombers,1986,EF,1986-09-06,W,H,Waverley Park,59420.0,,1
Carlton Blues,Sydney Swans,1986,QF,1986-09-07,W,H,Melbourne Cricket Ground,66016.0,,16
Carlton Blues,Hawthorn Hawks,1986,SF,1986-09-13,W,H,Waverley Park,62315.0,,28
Fitzroy Lions,Sydney Swans,1986,SF,1986-09-14,W,H,Melbourne Cricket Ground,65763.0,,5
Fitzroy Lions,Hawthorn Hawks,1986,PF,1986-09-20,L,A,Waverley Park,68339.0,,-56
Carlton Blues,Hawthorn Hawks,1986,GF,1986-09-27,L,A,Melbourne Cricket Ground,101861.0,,-42
Brisbane Bears,North Melbourne Kangaroos,1987,1,1987-03-27,W,A,Melbourne Cricket Ground,14096.0,,33
Carlton Blues,Hawthorn Hawks,1987,1,1987-03-28,L,H,Princes Park,19967.0,,-45
Collingwood Magpies,Sydney Swans,1987,1,1987-03-28,L,H,Victoria Park,17129.0,,-91
Essendon Bombers,Western Bulldogs,1987,1,1987-03-28,W,A,Waverley Park,22550.0,,59
Fitzroy Lions,Melbourne Demons,1987,1,1987-03-28,L,A,Melbourne Cricket Ground,18012.0,,-39
Melbourne Demons,Fitzroy Lions,1987,1,1987-03-28,W,H,Melbourne Cricket Ground,18012.0,,39
St Kilda Saints,Geelong Cats,1987,1,1987-03-28,L,H,People First Stadium,15867.0,,-1
Western Bulldogs,Essendon Bombers,1987,1,1987-03-28,L,H,Waverley Park,22550.0,,-59
West Coast Eagles,Richmond Tigers,1987,1,1987-03-29,W,H,Domain Stadium,23897.0,,14
Melbourne Demons,North Melbourne Kangaroos,1987,2,1987-04-03,L,A,Melbourne Cricket Ground,19035.0,,-33
North Melbourne Kangaroos,Melbourne Demons,1987,2,1987-04-03,W,H,Melbourne Cricket Ground,19035.0,,33
Brisbane Bears,Geelong Cats,1987,2,1987-04-04,W,A,GMHBA Stadium,15231.0,,19
Carlton Blues,Collingwood Magpies,1987,2,1987-04-04,W,A,Waverley Park,29481.0,,7
Collingwood Magpies,Carlton Blues,1987,2,1987-04-04,L,H,Waverley Park,29481.0,,-7
Essendon Bombers,West Coast Eagles,1987,2,1987-04-04,W,H,Windy Hill,19845.0,,5
Fitzroy Lions,St Kilda Saints,1987,2,1987-04-04,W,H,Princes Park,11348.0,,44
St Kilda Saints,Fitzroy Lions,1987,2,1987-04-04,L,A,Princes Park,11348.0,,-44
West Coast Eagles,Essendon Bombers,1987,2,1987-04-04,L,A,Windy Hill,19845.0,,-5
Fitzroy Lions,North Melbourne Kangaroos,1987,3,1987-04-10,W,H,Waverley Park,10043.0,,74
North Melbourne Kangaroos,Fitzroy Lions,1987,3,1987-04-10,L,A,Waverley Park,10043.0,,-74
Brisbane Bears,St Kilda Saints,1987,3,1987-04-11,L,A,People First Stadium,12717.0,,-50
Carlton Blues,Western Bulldogs,1987,3,1987-04-11,W,A,Western Oval,14492.0,,87
Collingwood Magpies,Hawthorn Hawks,1987,3,1987-04-11,L,A,Princes Park,14058.0,,-77
Essendon Bombers,Richmond Tigers,1987,3,1987-04-11,L,A,Melbourne Cricket Ground,27528.0,,-46
Geelong Cats,Melbourne Demons,1987,3,1987-04-11,W,H,GMHBA Stadium,15397.0,,34
Melbourne Demons,Geelong Cats,1987,3,1987-04-11,L,A,GMHBA Stadium,15397.0,,-34
St Kilda Saints,Brisbane Bears,1987,3,1987-04-11,W,H,People First Stadium,12717.0,,50
West Coast Eagles,Sydney Swans,1987,3,1987-04-12,L,H,Domain Stadium,35719.0,,-27
Carlton Blues,West Coast Eagles,1987,4,1987-04-18,W,H,Princes Park,20750.0,,87
Geelong Cats,North Melbourne Kangaroos,1987,4,1987-04-18,L,H,GMHBA Stadium,18628.0,,-9
